Number,Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Source,Running Total ($ with Tax)
44,Resistor 1kΩ,"R7,R12",2,0.0003,0.0006,https://www.lcsc.com/product-detail/C22548.html,Powerbank,85.8006
45,Resistor 110kΩ,R8,1,0.0002,0.0002,https://www.lcsc.com/product-detail/C25805.html,Powerbank,85.8008
46,Resistor 15kΩ,R9,1,0.0003,0.0003,https://www.lcsc.com/product-detail/C114661.html,Powerbank,85.8011
47,Resistor 56kΩ,"R10,R11",2,0.0003,0.0006,https://www.lcsc.com/product-detail/C23206.html,Powerbank,85.8017
48,Resistor 100Ω,R13,1,0.0003,0.0003,https://www.lcsc.com/product-detail/C105588.html,Powerbank,85.802
49,Capacitor 10uF,"C1,C2",2,0.0019,0.0038,https://www.lcsc.com/product-detail/C19702.html,Powerbank,85.8058
50,Capacitor 22uF,"C3,C4",2,0.0027,0.0054,https://www.lcsc.com/product-detail/C86295.html,Powerbank,85.8112
51,Capacitor 100nF,C6,1,0.0003,0.0003,https://www.lcsc.com/product-detail/C160831.html,Powerbank,85.8115
52,3M Dual Lock Reclosable Fastener 24mm x 50cm Velcro acc (Usage 3mm x 3mm),To make powerbank easy to attach-dettach,6,0.001,0.006,https://tk.tokopedia.com/ZSxcDnUcT/,Powerbank,85.8175
53,M2X8 Screw,Screw PCB to enclosure,4,0.05,0.2,https://tk.tokopedia.com/ZSxcDKrx9/,Powerbank,86.0175
54,M2 Nylon Nut,Locking the screw,4,0.054,0.216,https://tk.tokopedia.com/ZSxc5xuDv/,Powerbank,86.2335
55,PCB Board,PCB Board,1,1.0,1.0,https://jlcpcb.com/,Powerbank,87.2335
56,PCBA Price,If enabled PCBA option,1,70.25,70.25,https://jlcpcb.com/,Powerbank,157.4835
